order_item_id,order_detail_id,user_address_id,product_id,user_id,vendor_id
1,1317,3597,2784,3115,41
2,5919,2008,637,3380,130
3,1849,6471,2786,292,115
4,2187,274,440,4134,164
5,4397,1361,210,4191,83
6,7985,396,1837,4688,110
7,1232,3154,1885,3318,180
8,6999,3850,1330,140,168
9,6407,1043,16,9394,83
10,3284,1024,151,237,86
11,3825,4925,2172,3556,61
12,1805,6941,1464,1924,95
13,70,916,406,8836,173
14,1299,3100,21,6432,200
15,2964,4844,1976,5710,121
16,7429,3952,2407,513,98
17,3359,125,425,5412,90
18,5868,3592,726,7672,32
19,1362,60,2662,5256,55
20,232,3985,2648,1790,191
21,196,1508,858,1935,192
22,4943,1726,218,1903,83
23,3385,2185,1649,8914,94
24,414,3103,2021,9354,133
25,601,2524,999,7281,101
26,3055,6111,416,3007,49
27,1489,4546,2273,1015,173
28,851,197,2282,2696,38
29,1180,423,1356,6282,190
30,1675,1546,2211,7962,92
31,6362,6094,927,4521,129
32,6642,6895,2552,7966,9
33,2041,1189,300,3362,17
34,4923,3386,262,8286,102
35,2172,1717,1106,1389,129
36,5368,6236,1804,2177,99
37,6599,2029,2803,9136,158
38,1516,5772,2454,3309,118
39,3304,970,852,2078,169
40,7185,2129,1473,6804,2
41,440,5268,814,2543,145
42,600,6027,1674,7536,94
43,3309,1870,719,8052,175
44,6211,94,654,3419,191
45,2297,2410,1377,8485,133
46,3064,3135,2297,5559,42
47,4280,4368,2697,4365,43
48,4276,5265,202,2294,146
49,4350,2925,2453,2362,119
50,7195,1416,2487,5740,84
51,7701,4444,1578,1585,200
52,966,6290,2360,4662,87
53,2519,5914,1390,8468,25
54,1955,6291,89,8276,26
55,3820,3400,1016,7675,59
56,1954,459,2358,751,49
57,23,3262,1262,8732,140
58,958,1441,552,4125,44
59,7910,5970,30,767,119
60,7025,192,2634,8624,133
61,1452,2198,2773,1975,19
62,3128,1618,1912,8768,5
63,2306,3160,856,3210,31
64,1742,949,1104,3354,77
65,7704,6321,2079,1538,126
66,4313,6948,2485,8805,14
67,4907,6479,2042,5748,100
68,587,1588,69,2142,155
69,2610,2128,814,916,68
70,3549,1747,2438,9974,127
71,5856,4211,248,8246,2
72,6512,296,1018,8616,137
73,1696,3921,712,2842,187
74,4436,605,2948,2362,140
75,2419,3773,2640,9979,25
76,2167,2417,1730,8709,37
77,4445,1655,573,7186,38
78,2049,1877,2160,2262,168
79,1607,938,2787,8183,7
80,3690,1745,663,1305,130
81,1625,3776,2872,6972,139
82,5022,4636,2576,447,130
83,2880,1735,791,8295,41
84,4790,5263,2694,9128,145
85,6606,3500,1103,9821,114
86,6941,6722,1991,3461,180
87,3312,3292,2917,3122,34
88,4959,719,808,9242,23
89,4300,1154,922,4252,165
90,2904,3616,1432,7940,127
91,891,4590,165,1018,85
92,2995,3039,357,7955,72
93,7252,4275,1411,6354,116
94,6055,2642,974,7936,106
95,142,2240,1242,5099,5
96,5619,204,1958,1942,96
97,3568,6044,1191,2613,25
98,3180,3277,1600,1776,43
99,4097,5797,1020,6480,145
100,6835,4954,65,5943,6
101,3808,3377,2773,8883,61
102,1865,3304,2604,8044,98
103,3612,3943,2964,4609,57
104,758,544,658,7535,7
105,3585,4561,413,3870,43
106,4500,1035,2295,9980,35
107,1388,2969,1152,6833,43
108,7012,5693,2370,1172,59
109,3597,776,842,7859,98
110,353,4931,4,3770,185
111,5532,473,1278,7555,45
112,5387,4897,723,6904,147
113,4901,1073,2527,3894,160
114,172,2669,1608,8996,71
115,327,2012,640,4539,190
116,3301,6409,1977,4063,182
117,4732,1538,673,9098,60
118,4271,3964,958,8887,145
119,5893,5591,2327,6247,33
120,3704,6371,2352,6500,24
121,764,2279,2911,8464,185
122,2744,4368,1757,3871,183
123,1718,3381,2839,9421,27
124,2438,1941,2190,3978,107
125,5681,4706,1589,2022,62
126,7460,729,1535,4442,87
127,7586,5907,2046,597,200
128,2633,1601,1794,3769,38
129,7049,2220,2784,9036,30
130,5717,1083,463,8373,30
131,5204,138,1846,8654,66
132,5604,4381,1416,7588,20
133,7917,4872,1518,9650,84
134,4871,5403,809,2889,129
135,4870,1438,2986,8131,35
136,6798,279,2013,1642,93
137,7231,951,340,5196,168
138,6048,6894,2828,4605,89
139,5830,5219,1399,4581,165
140,7682,6878,2025,1717,126
141,2057,1567,2229,3332,68
142,2956,1388,2926,8708,176
143,2488,3371,967,3957,141
144,6098,1896,2520,1030,114
145,7785,359,1866,3056,189
146,5092,4829,1831,4198,187
147,7442,1078,2924,7739,58
148,426,3321,2643,5848,105
149,1883,6311,595,7741,174
150,1083,4884,1497,3804,65
151,341,5576,1134,4315,24
152,5020,3706,317,2767,4
153,1442,6346,880,1344,2
154,3647,4350,2313,5630,189
155,861,634,191,4978,52
156,5719,6282,1671,1996,108
157,676,3938,2804,4133,24
158,4624,4263,2083,8530,200
159,629,4148,772,9857,82
160,4862,686,1637,2958,13
161,5689,5377,73,9459,61
162,757,1435,2079,4773,70
163,715,4179,808,5046,35
164,7048,359,1599,2134,13
165,6245,1536,159,2373,64
166,4383,5548,1250,1633,33
167,355,1041,2963,7270,81
168,4019,2984,2906,8156,158
169,1938,4103,1573,4225,50
170,7922,1976,476,8205,66
171,4846,2679,2496,6539,189
172,1381,804,1414,5871,75
173,1076,6128,1874,4749,193
174,3011,6080,457,4966,24
175,6110,6566,2915,390,18
176,3479,137,2113,9342,164
177,2751,5552,2808,4636,109
178,4387,4928,581,1391,46
179,6195,4614,2882,5588,63
180,3587,4079,1167,3576,189
181,3990,4934,2016,7069,82
182,3069,203,1755,1265,121
183,6037,1317,578,4430,172
184,6702,6053,529,6123,56
185,4538,118,3,6311,153
186,1141,4412,1858,6266,94
187,5076,2297,2256,3164,94
188,5548,3707,1512,2653,13
189,3736,2823,1500,5054,22
190,1392,3526,2066,5823,107
191,3887,1795,855,9464,142
192,5021,5532,449,5116,188
193,1138,2319,2086,9952,44
194,7312,1724,1918,5332,149
195,3738,5330,1526,4391,134
196,6146,1590,2759,7140,51
197,903,5320,2782,6540,37
198,4418,101,509,5382,149
199,6066,4794,2527,1792,157
200,5732,2832,2392,8956,130
201,3676,5069,1520,539,68
