review_id,review_image
1,https://m.media-amazon.com/images/review/1
2,https://m.media-amazon.com/images/review/2
3,https://m.media-amazon.com/images/review/3
4,https://m.media-amazon.com/images/review/4
5,https://m.media-amazon.com/images/review/5
6,https://m.media-amazon.com/images/review/6
7,https://m.media-amazon.com/images/review/7
8,https://m.media-amazon.com/images/review/8
9,https://m.media-amazon.com/images/review/9
10,https://m.media-amazon.com/images/review/10
11,https://m.media-amazon.com/images/review/11
12,https://m.media-amazon.com/images/review/12
13,https://m.media-amazon.com/images/review/13
14,https://m.media-amazon.com/images/review/14
15,https://m.media-amazon.com/images/review/15
16,https://m.media-amazon.com/images/review/16
17,https://m.media-amazon.com/images/review/17
18,https://m.media-amazon.com/images/review/18
19,https://m.media-amazon.com/images/review/19
20,https://m.media-amazon.com/images/review/20
21,https://m.media-amazon.com/images/review/21
22,https://m.media-amazon.com/images/review/22
23,https://m.media-amazon.com/images/review/23
24,https://m.media-amazon.com/images/review/24
25,https://m.media-amazon.com/images/review/25
26,https://m.media-amazon.com/images/review/26
27,https://m.media-amazon.com/images/review/27
28,https://m.media-amazon.com/images/review/28
29,https://m.media-amazon.com/images/review/29
30,https://m.media-amazon.com/images/review/30
31,https://m.media-amazon.com/images/review/31
32,https://m.media-amazon.com/images/review/32
33,https://m.media-amazon.com/images/review/33
34,https://m.media-amazon.com/images/review/34
35,https://m.media-amazon.com/images/review/35
36,https://m.media-amazon.com/images/review/36
37,https://m.media-amazon.com/images/review/37
38,https://m.media-amazon.com/images/review/38
39,https://m.media-amazon.com/images/review/39
40,https://m.media-amazon.com/images/review/40
41,https://m.media-amazon.com/images/review/41
42,https://m.media-amazon.com/images/review/42
43,https://m.media-amazon.com/images/review/43
44,https://m.media-amazon.com/images/review/44
45,https://m.media-amazon.com/images/review/45
46,https://m.media-amazon.com/images/review/46
47,https://m.media-amazon.com/images/review/47
48,https://m.media-amazon.com/images/review/48
49,https://m.media-amazon.com/images/review/49
50,https://m.media-amazon.com/images/review/50
