product_id,vendor_id,list_date,price,discount
1,116,2019-10-24 04:54:26,180.00,18.00
1,33,2020-09-14 04:39:32,166.00,29.88
1,25,2020-06-06 08:56:38,553.00,165.90
1,142,2022-07-16 00:08:18,392.00,27.44
2,74,2021-03-22 16:34:31,479.00,81.43
2,174,2019-12-07 06:34:30,452.00,4.52
2,65,2021-11-23 20:04:52,159.00,33.39
2,89,2017-06-01 04:58:42,266.00,34.58
2,195,2021-08-31 19:54:03,468.00,23.40
2,55,2016-11-15 04:36:08,393.00,82.53
3,28,2016-04-09 12:21:12,391.00,89.93
3,59,2021-02-21 20:27:23,543.00,5.43
3,79,2018-04-30 09:49:08,470.00,4.70
3,197,2019-05-11 21:51:02,119.00,7.14
4,61,2019-12-25 11:44:35,322.00,45.08
4,88,2017-05-13 20:33:28,364.00,80.08
4,145,2021-08-09 01:56:45,501.00,70.14
4,115,2017-04-21 20:14:09,260.00,36.40
4,167,2021-01-06 06:28:03,456.00,109.44
4,50,2020-04-04 05:58:21,672.00,87.36
5,90,2020-06-03 10:16:25,78.00,14.04
5,162,2022-07-12 01:55:01,131.00,28.82
5,18,2019-02-16 08:23:07,85.00,22.10
5,1,2019-11-29 11:55:10,144.00,38.88
5,132,2017-08-30 03:32:09,470.00,56.40
5,38,2022-02-01 11:18:07,157.00,25.12
6,48,2018-11-20 15:06:11,378.00,41.58
6,106,2017-12-20 01:36:29,105.00,15.75
7,64,2020-03-28 19:54:35,502.00,40.16
7,27,2016-08-11 01:30:39,75.00,16.50
7,130,2021-02-22 09:36:48,510.00,122.40
8,36,2017-01-18 08:39:04,458.00,45.80
8,96,2022-04-23 04:10:20,184.00,38.64
9,1,2021-02-28 19:31:38,150.00,28.50
9,39,2016-05-14 05:54:50,74.00,3.70
9,91,2016-05-31 08:22:30,156.00,21.84
9,166,2020-02-15 03:18:22,643.00,180.04
9,21,2018-02-04 14:58:10,279.00,0.00
9,57,2018-05-15 09:05:37,198.00,3.96
10,68,2017-05-25 18:46:11,66.00,2.64
10,1,2020-01-01 12:43:44,518.00,46.62
10,109,2019-06-10 15:17:06,251.00,10.04
11,119,2022-12-03 14:14:58,461.00,64.54
11,40,2021-02-07 17:25:01,304.00,45.60
12,142,2021-12-16 09:39:21,419.00,79.61
12,137,2018-04-14 16:39:01,408.00,102.00
12,77,2020-10-06 12:01:13,631.00,82.03
12,24,2021-11-18 17:18:23,236.00,23.60
12,102,2017-06-18 17:19:02,605.00,139.15
13,200,2021-09-08 10:26:26,492.00,78.72
13,45,2019-06-24 22:02:02,270.00,37.80
13,152,2021-01-03 18:11:11,190.00,5.70
13,29,2018-10-28 17:12:35,360.00,79.20
14,31,2021-07-30 04:16:25,684.00,116.28
14,18,2021-10-11 23:44:21,119.00,32.13
14,71,2022-03-16 04:12:41,367.00,73.40
14,114,2018-09-25 09:10:21,171.00,23.94
14,124,2019-03-09 07:31:22,140.00,2.80
14,137,2019-08-29 20:17:01,529.00,47.61
16,178,2019-05-13 16:51:46,150.00,43.50
16,41,2016-06-02 20:43:28,132.00,6.60
16,19,2022-06-20 04:42:11,271.00,5.42
16,113,2021-12-13 04:43:34,687.00,144.27
16,179,2022-01-16 13:19:51,509.00,5.09
17,13,2022-12-18 19:54:49,320.00,89.60
17,116,2020-01-30 02:04:42,113.00,23.73
18,187,2020-10-01 09:25:46,456.00,114.00
18,70,2017-04-02 14:05:14,317.00,12.68
18,12,2021-03-25 03:32:45,117.00,17.55
18,160,2019-04-22 01:06:33,551.00,148.77
18,153,2019-04-04 18:37:10,340.00,47.60
18,168,2017-12-21 03:49:08,184.00,1.84
18,121,2016-12-13 01:02:15,142.00,11.36
19,167,2018-07-20 00:18:03,455.00,127.40
19,24,2019-06-16 20:14:30,559.00,0.00
20,31,2019-12-09 14:52:10,436.00,8.72
20,131,2016-06-08 15:31:02,560.00,100.80
20,74,2022-10-23 06:57:39,334.00,23.38
20,98,2022-03-25 06:49:13,574.00,0.00
20,160,2017-03-13 05:41:25,592.00,165.76
20,139,2018-06-06 06:37:05,336.00,0.00
20,169,2021-09-02 08:01:35,505.00,95.95
21,61,2022-05-06 16:50:35,264.00,31.68
21,134,2016-12-01 09:55:03,103.00,28.84
21,58,2016-08-03 19:27:10,141.00,40.89
21,111,2017-04-29 23:52:49,173.00,51.90
22,93,2022-10-19 19:02:08,589.00,164.92
22,24,2021-12-21 02:35:31,570.00,68.40
22,46,2016-02-14 05:21:38,475.00,85.50
22,119,2022-01-25 06:40:17,464.00,27.84
22,17,2016-02-06 01:02:35,333.00,96.57
22,174,2019-10-05 23:52:11,603.00,6.03
23,45,2019-01-12 17:42:18,521.00,98.99
23,58,2021-11-05 12:06:29,564.00,163.56
23,138,2019-11-24 00:13:11,596.00,178.80
23,151,2022-10-26 11:55:43,247.00,74.10
